species	genus	accession	plastome_length_bp	parasitism_category	parasitism_score
Orobanche pycnostachya	Orobanche	NC_072314	91898	3_holoparasite	3
Orobanche pycnostachya var. filicicola	Orobanche	PQ492240	91529	3_holoparasite	3
Orobanche rapum-genistae	Orobanche	NC_031444	91517	3_holoparasite	3
Pedicularis alaschanica	Pedicularis	PP234559	147224	1_hemiparasite	1
Pedicularis armata	Pedicularis	PX776210	149113	1_hemiparasite	1
Pedicularis aschistorrhyncha	Pedicularis	NC_080931	148333	1_hemiparasite	1
Pedicularis batangensis	Pedicularis	PX776209	151168	1_hemiparasite	1
Pedicularis bicolor	Pedicularis	NC_087843	152785	1_hemiparasite	1
Pedicularis bidentata	Pedicularis	PX776204	148531	1_hemiparasite	1
Pedicularis cephalantha	Pedicularis	NC_060560	147087	1_hemiparasite	1
Pedicularis cheilanthifolia	Pedicularis	NC_036010	155159	1_hemiparasite	1
Pedicularis chinensis	Pedicularis	NC_080928	149828	1_hemiparasite	1
Pedicularis corydaloides	Pedicularis	NC_080927	149240	1_hemiparasite	1
Pedicularis cranolopha	Pedicularis	PX776206	150129	1_hemiparasite	1
Pedicularis crenata	Pedicularis	NC_080926	147082	1_hemiparasite	1
Pedicularis decorissima	Pedicularis	PX776205	151146	1_hemiparasite	1
Pedicularis densispica	Pedicularis	NC_080925	145122	1_hemiparasite	1
Pedicularis dissecta	Pedicularis	NC_056312	152120	1_hemiparasite	1
Pedicularis elongata subsp. elongata	Pedicularis	PP541849	152210	1_hemiparasite	1
Pedicularis elwesii	Pedicularis	NC_080924	149108	1_hemiparasite	1
Pedicularis flava	Pedicularis	PQ759906	149087	1_hemiparasite	1
Pedicularis giraldiana	Pedicularis	NC_087844	147975	1_hemiparasite	1
Pedicularis gracilis	Pedicularis	NC_080923	148368	1_hemiparasite	1
Pedicularis hacquetii	Pedicularis	PP541850	152211	1_hemiparasite	1
Pedicularis hallaisanensis	Pedicularis	NC_037433	143469	1_hemiparasite	1
Pedicularis ishidoyana	Pedicularis	NC_029700	152571	1_hemiparasite	1
Pedicularis kansuensis	Pedicularis	OR198072	146484	1_hemiparasite	1
Pedicularis kongboensis	Pedicularis	NC_080930	151691	1_hemiparasite	1
Pedicularis lachnoglossa	Pedicularis	NC_080922	152384	1_hemiparasite	1
Pedicularis longiflora	Pedicularis	NC_046852	153547	1_hemiparasite	1
Pedicularis lyrata	Pedicularis	NC_080921	149508	1_hemiparasite	1
Pedicularis megalantha	Pedicularis	NC_080920	148399	1_hemiparasite	1
Pedicularis melampyriflora	Pedicularis	NC_081481	151062	1_hemiparasite	1
Pedicularis mollis	Pedicularis	NC_080919	152206	1_hemiparasite	1
Pedicularis muscicola	Pedicularis	NC_046853	152907	1_hemiparasite	1
Pedicularis nigra	Pedicularis	OL544940	145726	1_hemiparasite	1
Pedicularis oederi	Pedicularis	NC_046854	153139	1_hemiparasite	1
Pedicularis oederi var. sinensis	Pedicularis	MW770457	153770	1_hemiparasite	1
Pedicularis oliveriana	Pedicularis	NC_080918	162362	1_hemiparasite	1
Pedicularis palustris subsp. palustris	Pedicularis	PP541851	148737	1_hemiparasite	1
Pedicularis plicata	Pedicularis	NC_080917	147800	1_hemiparasite	1
Pedicularis resupinata	Pedicularis	NC_046397	153145	1_hemiparasite	1
Pedicularis rhinanthoides	Pedicularis	NC_080916	149108	1_hemiparasite	1
Pedicularis rudis	Pedicularis	NC_060688	151443	1_hemiparasite	1
Pedicularis rupicola	Pedicularis	NC_080915	147805	1_hemiparasite	1
Pedicularis semitorta	Pedicularis	PX776211	146134	1_hemiparasite	1
Pedicularis shansiensis	Pedicularis	NC_058762	151902	1_hemiparasite	1
Pedicularis siphonantha	Pedicularis	NC_080914	148407	1_hemiparasite	1
Pedicularis spicata	Pedicularis	PX673993	146244	1_hemiparasite	1
Pedicularis striata	Pedicularis	NC_081482	152146	1_hemiparasite	1
Pedicularis trichocymba	Pedicularis	PX776208	151857	1_hemiparasite	1
Pedicularis verticillata	Pedicularis	MT040753	142733	1_hemiparasite	1
Phacellanthus tubiflorus	Phacellanthus	OP605902	97030	1_hemiparasite	1
Phelipanche aegyptiaca	Phelipanche	KU212370	60947	3_holoparasite	3
Phelipanche purpurea	Phelipanche	NC_023132	62891	3_holoparasite	3
Phelipanche ramosa	Phelipanche	NC_023465	62304	3_holoparasite	3
Phtheirospermum japonicum	Phtheirospermum	NC_053792	153397	1_hemiparasite	1
Pterygiella cylindrica	Pterygiella	NC_063636	154859	1_hemiparasite	1
Pterygiella duclouxii	Pterygiella	NC_063637	154874	1_hemiparasite	1
Pterygiella tenuisecta	Pterygiella	PX776207	154062	1_hemiparasite	1
Rehmannia chingii	Rehmannia	NC_033534	154055	0_autotroph	0
Rehmannia chrysantha	Rehmannia	PX170676	153789	0_autotroph	0
Rehmannia elata	Rehmannia	MW149490	155622	0_autotroph	0
Rehmannia glutinosa	Rehmannia	MW013795	153797	0_autotroph	0
Rehmannia henryi	Rehmannia	NC_034309	153890	0_autotroph	0
Rehmannia piasezkii	Rehmannia	NC_034311	153925	0_autotroph	0
Rehmannia solanifolia	Rehmannia	NC_034310	153989	0_autotroph	0
Rhinanthus alectorolophus subsp. alectorolophus	Rhinanthus	PP541885	145309	1_hemiparasite	1
Rhinanthus freynii	Rhinanthus	PP541886	145369	1_hemiparasite	1
Rhinanthus minor	Rhinanthus	PP541887	145323	1_hemiparasite	1
Schwalbea americana	Schwalbea	NC_023115	160910	1_hemiparasite	1
Siphonostegia chinensis	Siphonostegia	NC_046038	148961	1_hemiparasite	1
Striga asiatica	Striga	NC_067570	191085	1_hemiparasite	1
Triaenophora shennongjiaensis	Triaenophora	NC_039781	155319	0_autotroph	0
Triphysaria versicolor	Triphysaria	NC_053793	152583	1_hemiparasite	1
Xylanche himalaica	Xylanche	MN175500	106466	1_hemiparasite	1
