species	genus	host	accession	genome_bp	aa_pathways_retained	symbiosis_age_mya
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146401.1	174025	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146472.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146457.1	174019	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146445.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146436.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146424.1	174022	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146460.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146454.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146466.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146439.1	174023	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146398.1	174022	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP147430.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146448.1	174024	2	150
Candidatus Palibaumannia cicadellinicola	Baumannia	sharpshooter	NZ_CP011787.1	632672	8	80
Candidatus Palibaumannia cicadellinicola	Baumannia	sharpshooter	NZ_CP008985.1	759425	8	80
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Baumannia	Homalodisca sp. (sharpshooter)	NC_007984.1	686194	8	80
Candidatus Palibaumannia cicadellinicola	Baumannia	sharpshooter	NZ_NJPO00000000.1	667677	8	80
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_LN649255.1	290195	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_LN734649.1	290376	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_LNJY00000000.1	375558	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM014390.1	375688	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CP016343.1	359359	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CP016327.1	354523	5	150
Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)	Portiera	Bemisia tabaci (whitefly)	NZ_CP016304.1	352068	5	150
Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)	Portiera	Bemisia tabaci (whitefly)	NZ_CP007563.1	357461	5	150
Candidatus Portiera aleyrodidarum BT-B-HRs	Portiera	whitefly	NC_018677.1	351658	5	150
Candidatus Portiera aleyrodidarum BT-QVLC	Portiera	whitefly	NC_018676.1	350928	5	150
Candidatus Portiera aleyrodidarum BT-QVLC	Portiera	whitefly	NC_018618.1	357472	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCJ000000000.1	353669	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143712.1	353769	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCE000000000.1	353900	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143729.1	353900	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCI000000000.1	355863	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143709.1	355863	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCG000000000.1	352228	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143711.1	352228	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCK000000000.1	355828	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143713.1	355928	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCH000000000.1	355359	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143708.1	355459	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_JBUYCF000000000.1	353523	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	NZ_CM143710.1	353523	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CM143729.1	353900	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CM143711.1	352228	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CM143710.1	353523	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CM143709.1	355863	5	150
Candidatus Portiera aleyrodidarum BT-B-HRs	Portiera	whitefly	NC_018507.1	358242	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CP016343.1	359359	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	CP016327.1	354523	5	150
Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)	Portiera	Bemisia tabaci (whitefly)	CP016304.1	352068	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	LN734649.1	290376	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	LN649255.1	290195	5	150
Candidatus Portiera aleyrodidarum	Portiera	whitefly	LN649236.1	280822	5	150
Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)	Portiera	Bemisia tabaci (whitefly)	CP007563.1	357461	5	150
Candidatus Portiera aleyrodidarum BT-QVLC	Portiera	whitefly	CP003835.1	357472	5	150
Candidatus Portiera aleyrodidarum TV	Portiera	whitefly	CP004358.1	280663	5	150
Candidatus Portiera aleyrodidarum BT-B-HRs	Portiera	whitefly	CP003868.1	351658	5	150
Candidatus Portiera aleyrodidarum BT-QVLC	Portiera	whitefly	CP003867.1	350928	5	150
Candidatus Portiera aleyrodidarum BT-B-HRs	Portiera	whitefly	CP003708.1	358242	5	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	NZ_FLRF00000000.1	137475	3	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	LN999057.1	143340	3	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	LN999056.1	141620	3	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	LN999011.1	138410	3	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	LN998830.1	144042	3	150
Candidatus Tremblayella princeps	Tremblaya	mealybug	LN998829.1	140306	3	150
Candidatus Tremblaya princeps PCVAL	Tremblaya	mealybug	CP002918.1	138931	3	150
Candidatus Tremblaya princeps PCIT	Tremblaya	mealybug	CP002244.1	138927	3	150
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_AP028057.1	192344	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_OZ035013.1	189789	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVKA000000000.1	190851	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153193.1	190851	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVJY000000000.1	190852	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153198.1	190852	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVKD000000000.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153195.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVJX000000000.1	190843	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153199.1	190843	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVKE000000000.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153197.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVKF000000000.1	190776	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153192.1	190776	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_JBWVJZ000000000.1	190862	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CM153189.1	190862	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093905.1	190560	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093900.1	190314	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093906.1	190964	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093902.1	190701	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093909.1	190814	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093904.1	190298	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093903.1	190781	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093901.1	189814	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093893.1	190512	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093897.1	190404	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093892.1	190377	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093898.1	190780	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093890.1	190656	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093895.1	189955	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093891.1	192889	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093896.1	192854	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093894.1	190852	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP110506.1	156628	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP110505.1	157002	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153199.1	190843	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153198.1	190852	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153197.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153195.1	190830	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153193.1	190851	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153192.1	190776	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	CM153189.1	190862	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP110507.1	155965	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP110504.1	156525	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093908.1	190867	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093907.1	190661	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP093899.1	192793	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP013212.1	190657	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP024849.1	192240	8	260
Candidatus Karelsulcia muelleri	Sulcia	Auchenorrhyncha	NZ_CP060020.1	190827	8	260
